irt_model,model,ability,correct,observed_total,missing_total,coverage,accuracy,ability_rank,accuracy_rank
1pl,phi4,0.3287709102557177,4216,5920,3899,0.6029127202362766,0.7121621621621622,1,1
1pl,5mini,0.2951051583342217,6833,9721,98,0.9900193502393319,0.7029112231251928,2,2
1pl,qwen314b,0.18338001139440685,6763,9819,0,1.0,0.6887666768510031,3,3
1pl,deepseek_r1_32b,0.1595278178149444,6733,9819,0,1.0,0.6857113759038599,4,4
1pl,baseline,0.13084693591325602,6630,9721,98,0.9900193502393319,0.6820285978808764,5,5
1pl,qwen257b,0.12827299897355782,5310,7813,2006,0.7957022100010185,0.6796365032637911,6,6
1pl,deepseek_r1_14b,0.09878745025346336,6656,9819,0,1.0,0.677869436806192,7,7
1pl,deepseek_r1_8b,-0.14029175882281986,2899,4441,5378,0.45228638354211226,0.6527809052015312,8,8
1pl,mistral_7b,-0.1537723893715981,6327,9819,0,1.0,0.6443629697525206,9,9
1pl,qwen330b_a3b,-0.21127813617308178,5627,8819,1000,0.8981566350952236,0.6380542011565937,10,10
1pl,llama31_8b,-0.29555658604214574,5985,9566,253,0.9742336286790916,0.6256533556345389,11,11
1pl,qwen253b,-0.5237924125299221,5816,9807,12,0.9987778796211427,0.5930457836239421,12,12
