k_factors,model,bias,factor_1,factor_2,factor_3,correct,observed_total,missing_total,coverage,accuracy
3,baseline,2.6434491731101093,-3.221964782155247,7.501794431765115,1.1080528238481249,6630,9721,98,0.9900193502393319,0.6820285978808764
3,5mini,1.7763500144041995,0.21929337929775267,1.3440980330341983,0.5608573555749938,6833,9721,98,0.9900193502393319,0.7029112231251928
3,ruleset,2.817325095455445,8.8309066888582,4.585247191622854,-4.505506982178854,6898,9721,98,0.9900193502393319,0.7095977780063779
3,deepseek_r1_14b_baseline,1.5174154972758533,0.3822692195491166,1.3097330549918857,0.9495699969163511,6656,9819,0,1.0,0.677869436806192
3,deepseek_r1_32b_baseline,1.5866272074320007,-0.7180174692988908,0.4155738571262669,0.30829108913254794,6733,9819,0,1.0,0.6857113759038599
3,deepseek_r1_8b_baseline,1.7792170756149177,-0.3545999087710403,-2.3067334950143286,10.44966915201236,2899,4441,5378,0.45228638354211226,0.6527809052015312
3,llama31_8b_baseline,5.975834640684958,14.725011946307642,-4.919860577665544,75.79090474019225,5985,9566,253,0.9742336286790916,0.6256533556345389
3,mistral_7b_baseline,1.2784704397272828,2.1024464302627077,-2.550492749747479,3.1980600842052587,6327,9819,0,1.0,0.6443629697525206
3,phi4_baseline,1.9885699771727046,0.26004593047563673,2.2267366626328355,0.7168732608590055,4216,5920,3899,0.6029127202362766,0.7121621621621622
3,qwen253b_baseline,12.323460825833381,12.506396916903038,85.58587281076922,34.29937093420741,5816,9807,12,0.9987778796211427,0.5930457836239421
3,qwen257b_baseline,1.4898771370711281,0.8488644274780536,0.1807938823734622,0.8721368015770954,5310,7813,2006,0.7957022100010185,0.6796365032637911
3,qwen314b_baseline,1.6603698704201648,-0.05144662741672229,0.07557351833445919,1.6317699016398002,6763,9819,0,1.0,0.6887666768510031
3,qwen330b_a3b_baseline,1.9751318515644645,-6.415604554511132,4.566929779712424,4.687613283454497,5627,8819,1000,0.8981566350952236,0.6380542011565937
3,deepseek_r1_14b_ruleset,2.6442484698278004,12.892346468054244,1.1938178019817125,-3.9400078378045342,6050,9019,800,0.9185253080761788,0.6708060760616477
3,llama31_8b_ruleset,4.062954276208859,41.80526164233139,-3.6089528225099143,-12.255042905735799,6013,9819,0,1.0,0.6123841531724208
3,phi4_ruleset,4.197463479080973,24.196133527673616,5.294140278046578,-5.6687361670839405,6605,9819,0,1.0,0.6726754251960485
3,qwen253b_ruleset,4.841389052816477,70.56099043303125,-20.52591325285055,4.292621764976766,5268,9270,549,0.9440879926672777,0.568284789644013
3,qwen314b_ruleset,4.717748653529126,26.39175758799429,10.089025016813222,-12.130102784204444,4405,6600,3219,0.6721662083715246,0.6674242424242425
